,index,Company,Abbr,Road No.,Model,Date,HP
308,117,CIT Rail Resources,CITX,CEFX 6318,SD40M-2,Mar-68,
309,118,CIT Rail Resources,CITX,CEFX 6319,SD40-2,Mar-68,3000.0
310,119,CIT Rail Resources,CITX,CEFX 6403,SD40-2,Nov-78,3000.0
311,120,CIT Rail Resources,CITX,CEFX 6407,SD40-2,Dec-78,3000.0
312,121,CIT Rail Resources,CITX,CEFX 6409,SD40-2,,3000.0
313,122,CIT Rail Resources,CITX,CEFX 6671,GP38-3,Jun-65,
314,123,CIT Rail Resources,CITX,CEFX 7108,SD40-2,Dec-78,3000.0
315,124,CIT Rail Resources,CITX,CEFX 8506,B39-8E,Oct-87,
316,125,CIT Rail Resources,CITX,CEFX 8531,B39-8E,Mar-88,
317,126,CIT Rail Resources,CITX,"CEFX 8585, 91 & 96-97",B39-8E,Apr-88,
318,127,CIT Rail Resources,CITX,CEFX 9194,SD45T-2,Mar-72,3600.0
319,128,CIT Rail Resources,CITX,"CEFX 9243, 9245 & 9254",SD45T-2,Jun-72,3600.0
320,129,CIT Rail Resources,CITX,"CEFX 9273, 9282 & 9294",SD45T-2,Mar-73,3600.0
321,130,CIT Rail Resources,CITX,"CEFX 9300, 9308",SD45T-2,Mar-73,3600.0
322,131,CIT Rail Resources,CITX,"CEFX 9328, 9330, 9333 & 9337",SD45T-2,Feb-74,3600.0
323,132,CIT Rail Resources,CITX,"CEFX 9345, 9347 & 9359",SD45T-2,Feb-75,3600.0
324,133,CIT Rail Resources,CITX,CEFX 9362-63,SD45T-2,Feb-75,3600.0
325,134,CIT Rail Resources,CITX,"CEFX 9373, 75 & 85",SD45T-2,Mar-75,3600.0
326,135,CIT Rail Resources,CITX,CEFX 9391-95,SD45T-2,Jun-75,3600.0
327,136,CIT Rail Resources,CITX,CEFX 9400-9402,SD45T-2,Jun-75,3600.0
328,137,CIT Rail Resources,CITX,CEFX 9486,SD45T-2,Mar-69,3600.0
329,138,CIT Rail Resources,CITX,CEFX 9500,SD45T-2,Aug-66,3600.0
330,0,Chattahoochee Lomotive Company,CLCX,1110,S4m,Jan-52,
331,1,Chattahoochee Lomotive Company,CLCX,2111,--,,
332,2,Chattahoochee Lomotive Company,CLCX,2112,S4m,Apr-54,
333,3,Chattahoochee Lomotive Company,CLCX,2058,GP20,Jun-60,2000.0
334,4,Chattahoochee Lomotive Company,CLCX,5035,C30-7,Nov-79,3000.0
335,5,Chattahoochee Lomotive Company,CLCX,5116,GP10,Jan-58,1800.0
336,6,Chattahoochee Lomotive Company,CLCX,5117,PL15B,Apr-54,
337,7,Chattahoochee Lomotive Company,CLCX,5118,PL15B,,
338,8,Chattahoochee Lomotive Company,CLCX,5119,PL15B,2008,
339,9,Chattahoochee Lomotive Company,CLCX,7025,C30-7,Aug-79,3000.0
340,10,Chattahoochee Lomotive Company,CLCX,7082,C30-7,Nov-81,3000.0
341,11,Chattahoochee Lomotive Company,CLCX,7123,PL15B,2009,
342,12,Chattahoochee Lomotive Company,CLCX,7124,PL15B,Apr-49,
343,13,Chattahoochee Lomotive Company,CLCX,8127,PL15B:4RS,Aug-49,
344,14,Chattahoochee Lomotive Company,CLCX,8128,GP9/10,,
345,15,Chattahoochee Lomotive Company,CLCX,8129,GP9m,,1500.0
346,16,Chattahoochee Lomotive Company,CLCX,9595,S4m,,
347,17,Chattahoochee Lomotive Company,CLCX,9688,S2m,,
348,18,Chattahoochee Lomotive Company,CLCX,9697,DRS 44-1500m,,
349,19,Chattahoochee Lomotive Company,CLCX,9698,S2m,Aug-48,
350,20,Chattahoochee Lomotive Company,CLCX,10131,--,,
351,21,Chattahoochee Lomotive Company,CLCX,12132,GP9,,1750.0
352,22,Chattahoochee Lomotive Company,CLCX,13133,SW1200,,1200.0
353,23,Chattahoochee Lomotive Company,CLCX,14135,SW10,May-52,1000.0
354,24,Chattahoochee Lomotive Company,CLCX,14136,SW8,Nov-50,800.0
355,25,Chattahoochee Lomotive Company,CLCX,15140,SW1,Oct-45,600.0
356,26,Chattahoochee Lomotive Company,CLCX,96101,S2m,,
357,27,Chattahoochee Lomotive Company,CLCX,98106,S4m,,
358,0,CitiCorp Railmark,CREX,1201-1215,ES44AC,12-Oct,4400.0
